,id,host_is_superhost,neighbourhood_cleansed,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,Home or apt,Hotel room,Private room,Shared room,Private Bath,Shared Bath,bathrooms_number,amenities
0,10595,t,ΑΜΠΕΛΟΚΗΠΟΙ,8,3.0,5.0,79.0,1,32,1,0,0,0,1,0,2.0,17.0
1,10990,t,ΑΜΠΕΛΟΚΗΠΟΙ,4,1.0,1.0,50.0,1,52,1,0,0,0,1,0,1.0,18.0
2,10993,t,ΑΜΠΕΛΟΚΗΠΟΙ,2,1.0,1.0,38.0,1,71,1,0,0,0,1,0,1.0,17.0
3,10995,t,ΑΜΠΕΛΟΚΗΠΟΙ,4,1.0,2.0,48.0,1,24,1,0,0,0,1,0,1.0,16.0
4,27262,t,ΑΜΠΕΛΟΚΗΠΟΙ,4,1.0,1.0,47.0,1,17,1,0,0,0,1,0,1.0,17.0
5,28186,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,4,1.0,2.0,59.0,2,465,1,0,0,0,1,0,1.0,20.0
6,31155,f,ΚΕΡΑΜΕΙΚΟΣ,1,1.0,0.0,39.0,1,0,0,0,1,0,0,1,1.0,5.0
7,33945,f,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,5,2.0,2.0,30.0,5,71,1,0,0,0,1,0,1.0,20.0
8,49489,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,7,3.0,5.0,120.0,2,121,1,0,0,0,1,0,1.5,20.0
9,54637,f,ΠΑΓΚΡΑΤΙ,2,1.0,1.0,70.0,10,3,1,0,0,0,1,0,1.0,12.0
10,59663,f,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,6,4.0,4.0,50.0,2,343,1,0,0,0,1,0,2.0,19.0
11,60394,f,ΣΤΑΔΙΟ,3,1.0,1.0,28.0,3,9,1,0,0,0,1,0,1.0,20.0
12,80598,t,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,2,1.0,1.0,32.0,2,458,1,0,0,0,1,0,1.5,19.0
13,83097,f,ΣΤΑΔΙΟ,4,1.0,3.0,45.0,4,21,1,0,0,0,1,0,1.0,7.0
14,85539,f,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,4,1.0,4.0,75.0,4,0,1,0,0,0,1,0,1.0,5.0
15,119682,f,ΑΚΡΟΠΟΛΗ,3,1.0,1.0,65.0,2,122,1,0,0,0,1,0,1.0,16.0
16,131133,f,ΝΕΑ ΚΥΨΕΛΗ,5,1.0,0.0,56.0,2,31,1,0,0,0,1,0,1.5,19.0
17,133835,t,ΚΟΛΩΝΑΚΙ,2,1.0,1.0,40.0,5,8,1,0,0,0,1,0,1.0,8.0
18,133906,f,ΝΕΑ ΚΥΨΕΛΗ,7,2.0,7.0,69.0,2,46,1,0,0,0,1,0,1.0,20.0
19,138386,f,ΠΑΓΚΡΑΤΙ,4,2.0,2.0,52.0,2,59,1,0,0,0,1,0,1.0,19.0
20,154243,f,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,4,1.0,1.0,55.0,3,177,1,0,0,0,1,0,1.0,11.0
21,155654,t,ΑΚΡΟΠΟΛΗ,3,1.0,0.0,60.0,2,31,1,0,0,0,1,0,1.0,19.0
22,157869,t,ΣΤΑΔΙΟ,4,2.0,2.0,61.0,1,173,1,0,0,0,1,0,1.0,20.0
23,167416,f,ΠΑΤΗΣΙΑ,4,2.0,4.0,74.0,14,0,1,0,0,0,1,0,1.5,6.0
24,179705,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,4,2.0,2.0,35.0,2,116,1,0,0,0,1,0,1.0,18.0
25,185936,f,ΓΚΑΖΙ,2,1.0,1.0,30.0,7,0,0,0,1,0,1,0,1.0,4.0
26,196935,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2,1.0,1.0,36.0,2,51,1,0,0,0,1,0,1.0,18.0
27,251361,f,ΑΝΩ ΠΑΤΗΣΙΑ,4,1.0,1.0,129.0,5,1,1,0,0,0,1,0,1.0,8.0
28,270611,f,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,8,2.0,8.0,21.0,3,39,1,0,0,0,1,0,1.0,19.0
29,270954,t,ΚΕΡΑΜΕΙΚΟΣ,4,1.0,1.0,61.0,2,24,1,0,0,0,1,0,1.0,18.0
30,270973,t,ΚΕΡΑΜΕΙΚΟΣ,4,1.0,1.0,62.0,2,11,1,0,0,0,1,0,1.0,18.0
31,281158,f,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,8,3.0,8.0,45.0,2,57,1,0,0,0,1,0,1.0,15.0
32,306234,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2,1.0,1.0,193.0,2,472,1,0,0,0,1,0,1.0,20.0
33,308157,t,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,2,1.0,1.0,58.0,4,2,1,0,0,0,1,0,1.0,20.0
34,360940,f,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,4,2.0,3.0,58.0,2,21,1,0,0,0,1,0,1.5,7.0
35,361393,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,8,2.0,4.0,49.0,2,195,1,0,0,0,1,0,1.0,18.0
36,401423,t,ΑΚΡΟΠΟΛΗ,3,1.0,1.0,65.0,2,446,1,0,0,0,1,0,1.0,9.0
37,408907,f,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,3,1.0,0.0,50.0,1,169,1,0,0,0,1,0,1.0,16.0
38,411452,f,ΑΜΠΕΛΟΚΗΠΟΙ,5,1.0,2.0,29.0,7,332,1,0,0,0,1,0,1.0,19.0
39,417223,f,ΙΛΙΣΙΑ,4,2.0,2.0,80.0,2,31,1,0,0,0,1,0,1.0,17.0
40,441091,f,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,3,1.0,1.0,60.0,7,24,1,0,0,0,1,0,1.0,20.0
41,448768,t,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,5,2.0,2.0,55.0,7,67,1,0,0,0,1,0,1.0,20.0
42,452159,f,ΝΕΑ ΚΥΨΕΛΗ,8,3.0,4.0,1741.0,2,56,1,0,0,0,1,0,2.0,15.0
43,469140,f,ΘΗΣΕΙΟ,4,1.0,2.0,138.0,2,60,1,0,0,0,1,0,1.0,19.0
44,470219,f,ΘΗΣΕΙΟ,4,1.0,2.0,81.0,1000,16,1,0,0,0,1,0,1.0,20.0
45,474719,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,4,1.0,2.0,50.0,1,248,1,0,0,0,1,0,1.0,19.0
46,478626,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,3,1.0,1.0,120.0,1,1,1,0,0,0,1,0,1.0,6.0
47,484852,f,ΠΕΔΙΟ ΑΡΕΩΣ,4,1.0,2.0,23.0,5,52,1,0,0,0,1,0,1.0,20.0
48,484925,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,5,2.0,3.0,125.0,1,255,1,0,0,0,1,0,1.0,18.0
49,495212,f,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,3,1.0,2.0,50.0,7,11,1,0,0,0,1,0,1.0,20.0
50,496416,t,ΚΕΡΑΜΕΙΚΟΣ,4,1.0,0.0,57.0,2,8,1,0,0,0,1,0,1.0,19.0
51,496503,t,ΚΕΡΑΜΕΙΚΟΣ,8,2.0,2.0,120.0,2,8,1,0,0,0,1,0,2.5,19.0
52,496561,t,ΑΚΡΟΠΟΛΗ,3,1.0,1.0,80.0,1,17,1,0,0,0,1,0,1.0,15.0
53,497502,f,ΣΤΑΔΙΟ,4,1.0,4.0,131.0,1,9,1,0,0,0,1,0,1.0,12.0
54,498604,t,ΑΚΡΟΠΟΛΗ,4,2.0,2.0,40.0,3,102,1,0,0,0,1,0,1.0,18.0
55,502779,t,ΚΕΡΑΜΕΙΚΟΣ,16,5.0,6.0,321.0,2,33,1,0,0,0,1,0,5.5,19.0
56,502842,t,ΚΕΡΑΜΕΙΚΟΣ,4,1.0,1.0,57.0,2,7,1,0,0,0,1,0,1.0,19.0
57,502879,t,ΚΕΡΑΜΕΙΚΟΣ,4,1.0,2.0,56.0,2,20,1,0,0,0,1,0,1.0,18.0
58,505720,f,ΣΤΑΔΙΟ,5,2.0,4.0,121.0,1,18,1,0,0,0,1,0,1.0,12.0
59,505769,f,ΣΤΑΔΙΟ,4,1.0,3.0,63.0,1,5,1,0,0,0,1,0,1.0,12.0
60,536123,t,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,2,1.0,1.0,62.0,3,34,1,0,0,0,1,0,1.0,20.0
