,neighbourhood_cleansed,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,Home or apt,Hotel room,Private room,Shared room,Private Bath,Shared Bath,bathrooms_number,amenities,not_a_superhost,superhost
0,25392.0,8,3.0,5.0,79.0,1,32,1,0,0,0,1,0,2.0,17.0,0,1
1,25392.0,4,1.0,1.0,50.0,1,52,1,0,0,0,1,0,1.0,18.0,0,1
2,25392.0,2,1.0,1.0,38.0,1,71,1,0,0,0,1,0,1.0,17.0,0,1
3,25392.0,4,1.0,2.0,48.0,1,24,1,0,0,0,1,0,1.0,16.0,0,1
4,25392.0,4,1.0,1.0,47.0,1,17,1,0,0,0,1,0,1.0,17.0,0,1
5,165084.0,4,1.0,2.0,59.0,2,465,1,0,0,0,1,0,1.0,20.0,0,1
6,28598.0,1,1.0,0.0,39.0,1,0,0,0,1,0,0,1,1.0,5.0,1,0
7,4509.0,5,2.0,2.0,30.0,5,71,1,0,0,0,1,0,1.0,20.0,1,0
8,165084.0,7,3.0,5.0,120.0,2,121,1,0,0,0,1,0,1.5,20.0,0,1
9,23411.0,2,1.0,1.0,70.0,10,3,1,0,0,0,1,0,1.0,12.0,1,0
10,38531.0,6,4.0,4.0,50.0,2,343,1,0,0,0,1,0,2.0,19.0,1,0
11,24405.0,3,1.0,1.0,28.0,3,9,1,0,0,0,1,0,1.0,20.0,1,0
12,6160.0,2,1.0,1.0,32.0,2,458,1,0,0,0,1,0,1.5,19.0,0,1
13,24405.0,4,1.0,3.0,45.0,4,21,1,0,0,0,1,0,1.0,7.0,1,0
14,38531.0,4,1.0,4.0,75.0,4,0,1,0,0,0,1,0,1.0,5.0,1,0
15,33086.0,3,1.0,1.0,65.0,2,122,1,0,0,0,1,0,1.0,16.0,1,0
16,3780.0,5,1.0,0.0,56.0,2,31,1,0,0,0,1,0,1.5,19.0,1,0
17,32190.0,2,1.0,1.0,40.0,5,8,1,0,0,0,1,0,1.0,8.0,0,1
18,3780.0,7,2.0,7.0,69.0,2,46,1,0,0,0,1,0,1.0,20.0,1,0
19,23411.0,4,2.0,2.0,52.0,2,59,1,0,0,0,1,0,1.0,19.0,1,0
20,48959.0,4,1.0,1.0,55.0,3,177,1,0,0,0,1,0,1.0,11.0,1,0
21,33086.0,3,1.0,0.0,60.0,2,31,1,0,0,0,1,0,1.0,19.0,0,1
22,24405.0,4,2.0,2.0,61.0,1,173,1,0,0,0,1,0,1.0,20.0,0,1
23,5894.0,4,2.0,4.0,74.0,14,0,1,0,0,0,1,0,1.5,6.0,1,0
24,165084.0,4,2.0,2.0,35.0,2,116,1,0,0,0,1,0,1.0,18.0,1,0
25,6001.0,2,1.0,1.0,30.0,7,0,0,0,1,0,1,0,1.0,4.0,1,0
26,165084.0,2,1.0,1.0,36.0,2,51,1,0,0,0,1,0,1.0,18.0,1,0
27,2683.0,4,1.0,1.0,129.0,5,1,1,0,0,0,1,0,1.0,8.0,1,0
28,38531.0,8,2.0,8.0,21.0,3,39,1,0,0,0,1,0,1.0,19.0,1,0
29,28598.0,4,1.0,1.0,61.0,2,24,1,0,0,0,1,0,1.0,18.0,0,1
30,28598.0,4,1.0,1.0,62.0,2,11,1,0,0,0,1,0,1.0,18.0,0,1
31,15856.0,8,3.0,8.0,45.0,2,57,1,0,0,0,1,0,1.0,15.0,1,0
32,165084.0,2,1.0,1.0,193.0,2,472,1,0,0,0,1,0,1.0,20.0,0,1
33,48959.0,2,1.0,1.0,58.0,4,2,1,0,0,0,1,0,1.0,20.0,0,1
34,8220.0,4,2.0,3.0,58.0,2,21,1,0,0,0,1,0,1.5,7.0,1,0
35,165084.0,8,2.0,4.0,49.0,2,195,1,0,0,0,1,0,1.0,18.0,0,1
36,33086.0,3,1.0,1.0,65.0,2,446,1,0,0,0,1,0,1.0,9.0,0,1
37,38531.0,3,1.0,0.0,50.0,1,169,1,0,0,0,1,0,1.0,16.0,1,0
38,25392.0,5,1.0,2.0,29.0,7,332,1,0,0,0,1,0,1.0,19.0,1,0
39,12424.0,4,2.0,2.0,80.0,2,31,1,0,0,0,1,0,1.0,17.0,1,0
40,15856.0,3,1.0,1.0,60.0,7,24,1,0,0,0,1,0,1.0,20.0,1,0
41,38531.0,5,2.0,2.0,55.0,7,67,1,0,0,0,1,0,1.0,20.0,0,1
